HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Pattern,Input.para_1_a,Input.para_1_b,Input.answer_1,Input.para_2_a,Input.para_2_b,Input.answer_2,Input.para_3_a,Input.para_3_b,Input.answer_3,Input.para_4_a,Input.para_4_b,Input.answer_4,Input.para_5_a,Input.para_5_b,Input.answer_5,Input.para_6_a,Input.para_6_b,Input.answer_6,Input.para_7_a,Input.para_7_b,Input.answer_7,Answer.ans1,Answer.ans2,Answer.ans3,Answer.ans4,Answer.ans5,Answer.ans6,Answer.ans7,Answer.comment,Approve,Reject
3MWOYZD5WX5UBRRQH5IYY43OZKXNO6,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:29 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:29 PST 2021,,,3300DTYQT5YWOHPNTMCKL6ZVZ26EQR,A1XV0AT4VBOBVL,Approved,Thu Jan 28 14:39:25 PST 2021,Thu Jan 28 14:40:26 PST 2021,Thu Jan 28 17:40:26 PST 2021,Thu Jan 28 17:40:53 PST 2021,,,61,100% (3/3),100% (3/3),100% (3/3),P138,<i>Ares Vallis</i> is named after <i>Mars</i> .,<i>Ares Vallis</i> was founded in <i>Mars</i> .,distractor,<i>Jerusalem Day</i> is named after <i>Jerusalem</i> .,"<i>Jerusalem Day</i>, which is named after <i>Jerusalem</i>.",paraphrase,<i>Copenhagen Airport</i> is named after <i>Copenhagen</i> .,"<i>Copenhagen Airport</i>, which was named after <i>Copenhagen</i>.",paraphrase,<i>Newquay Cornwall Airport</i> is named after <i>Cornwall</i> .,<i>Newquay Cornwall Airport</i> was named after <i>Cornwall</i>.,paraphrase,<i>Leeds Minster</i> is named after <i>Peter</i> .,<i>Leeds Minster</i> is named for <i>Peter</i>.,paraphrase,<i>London International Airport</i> is named after <i>London</i> .,<i>London International Airport</i> is affiliated with the <i>London</i> religion .,distractor,<i>Boise Airport</i> is named after <i>Boise</i> .,<i>Boise Airport</i> was named for <i>Boise</i>.,paraphrase,2,1,1,1,2,2,2,{},,
3OLZC0DJ8LWXNAPWL1RKOO1F9E0VI0,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:40 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:40 PST 2021,,,3DR23U6WE8V9GXHFAQ6FQBAIJ95ET5,A1XV0AT4VBOBVL,Approved,Thu Jan 28 14:41:10 PST 2021,Thu Jan 28 14:42:09 PST 2021,Thu Jan 28 17:42:09 PST 2021,Thu Jan 28 17:42:53 PST 2021,,,59,100% (3/3),100% (3/3),100% (3/3),P264,<i>Bobby Darin</i> is represented by music label <i>Brunswick</i> .,<i>Bobby Darin</i> is represented by record label <i>Brunswick</i> .,paraphrase,<i>Bobby Darin</i> is represented by music label <i>Brunswick</i> .,<i>Bobby Darin</i> used to communicate in <i>Brunswick</i> .,distractor,<i>Nick Lucas</i> is represented by music label <i>Brunswick</i> .,The music label representing <i>Nick Lucas</i> is <i>Brunswick</i>.,paraphrase,<i>Nick Lucas</i> is represented by music label <i>Brunswick</i> .,"<i>Nick Lucas</i>, which is represented by <i>Brunswick</i>.",paraphrase,<i>Bola Sete</i> is represented by music label <i>Fantasy</i> .,<i>Bola Sete</i> is represented by <i>Fantasy</i> .,paraphrase,<i>It Doesn't Matter Anymore</i> is represented by music label <i>Coral</i> .,<i>It Doesn't Matter Anymore</i> works in the field of <i>Coral</i> .,distractor,<i>Have You Seen Her</i> is represented by music label <i>Brunswick</i> .,"<i>Have You Seen Her</i>, that is represented by <i>Brunswick</i>.",paraphrase,1,2,1,1,1,2,1,{},,
3XT3KXP241FC8KAVKTJCCWLGSL9I6W,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:33 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:33 PST 2021,,,3H8DHMCCWCS5L8DSKMH3J2510KDKDC,A1XV0AT4VBOBVL,Approved,Thu Jan 28 14:42:58 PST 2021,Thu Jan 28 14:43:53 PST 2021,Thu Jan 28 17:43:53 PST 2021,Thu Jan 28 17:44:53 PST 2021,,,55,100% (3/3),100% (3/3),100% (3/3),P364,The original language of <i>Diplomacy</i> is <i>French</i> .,The headquarter of <i>Diplomacy</i> is in <i>French</i> .,distractor,The original language of <i>Diplomacy</i> is <i>French</i> .,<i>Diplomacy</i> was originally aired on <i>French</i> .,distractor,The original language of <i>Diplomacy</i> is <i>French</i> .,<i>French</i> is the language of <i>Diplomacy</i>.,paraphrase,The original language of <i>Respiro</i> is <i>Italian</i> .,<i>Italian</i> was the language of <i>Respiro</i>.,paraphrase,The original language of <i>Tell Me Something</i> is <i>Korean</i> .,The language of <i>Tell Me Something</i> is <i>Korean</i>.,paraphrase,The original language of <i>New Literary History</i> is <i>English</i> .,The language of <i>New Literary History</i> was <i>English</i>.,paraphrase,The original language of <i>The Adventure Game</i> is <i>English</i> .,The original language of <i>The Adventure Game</i> was <i>English</i>.,paraphrase,2,2,1,1,1,1,1,{},,
35A1YQPVFGXGPGAHFA97KQ7GWQYI5G,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:29 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:29 PST 2021,,,3IUZPWIU1RO4UEDJ1HMTBQUM70IKWK,A2O6Q4HDNBQUA,Approved,Thu Jan 28 05:32:25 PST 2021,Thu Jan 28 05:33:23 PST 2021,Thu Jan 28 08:33:23 PST 2021,Thu Jan 28 08:33:53 PST 2021,,,58,100% (5/5),100% (5/5),100% (5/5),P39,<i>Bernard Tissier de Mallerais</i> has the position of <i>bishop</i> .,The original language of <i>Bernard Tissier de Mallerais</i> is <i>bishop</i> .,distractor,<i>Ed Austin</i> has the position of <i>mayor</i> .,<i>Ed Austin</i> holds the position of <i>mayor</i>.,paraphrase,<i>Bernard Tissier de Mallerais</i> has the position of <i>bishop</i> .,"<i>Bernard Tissier de Mallerais</i>, whose position is that of <i>bishop</i>.",paraphrase,<i>Praejectus</i> has the position of <i>bishop</i> .,"<i>Praejectus</i>, who holds the position of <i>bishop</i>.",paraphrase,<i>Keith O'Brien</i> has the position of <i>bishop</i> .,<i>Keith O'Brien</i>'s position is <i>bishop</i>.,paraphrase,<i>Laurean Rugambwa</i> has the position of <i>bishop</i> .,"<i>Laurean Rugambwa</i>, who has the position of <i>bishop</i>.",paraphrase,<i>Bernard Tissier de Mallerais</i> has the position of <i>bishop</i> .,<i>Bernard Tissier de Mallerais</i> is named after <i>bishop</i> .,distractor,2,1,1,1,1,1,2,{},,
32K26U12DP5GFZ9ATNQ9XRL2H9SVDY,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:29 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:29 PST 2021,,,3WZ36BJEV6XB9U5V0Z4PP34XGCRBT1,A2O6Q4HDNBQUA,Approved,Thu Jan 28 05:33:30 PST 2021,Thu Jan 28 05:38:43 PST 2021,Thu Jan 28 08:38:43 PST 2021,Thu Jan 28 08:38:53 PST 2021,,,313,100% (5/5),100% (5/5),100% (5/5),P101,<i>Saskia Sassen</i> works in the field of <i>sociology</i> .,The original language of <i>Saskia Sassen</i> is <i>sociology</i> .,distractor,<i>Heinrich Roth</i> works in the field of <i>Sanskrit</i> .,<i>Heinrich Roth</i> is a legal term in <i>Sanskrit</i> .,distractor,<i>Heinrich Roth</i> works in the field of <i>Sanskrit</i> .,The domain of activity of <i>Heinrich Roth</i> is <i>Sanskrit</i>.,paraphrase,<i>Claude Bernard</i> works in the field of <i>physiology</i> .,<i>Claude Bernard</i> specializes in <i>physiology</i>.,paraphrase,<i>Saskia Sassen</i> works in the field of <i>sociology</i> .,<i>sociology</i> is the expertise of <i>Saskia Sassen</i>.,paraphrase,<i>Theodor Billroth</i> works in the field of <i>surgery</i> .,The expertise of <i>Theodor Billroth</i> is <i>surgery</i>.,paraphrase,<i>Arnaud Denjoy</i> works in the field of <i>mathematics</i> .,<i>mathematics</i> is the specialization of <i>Arnaud Denjoy</i>.,paraphrase,2,2,1,1,1,1,1,"some are ambigous: ""expertise is"" and ""works at"" could mean the same in some contexts and not entailing in others",,
35YHTYFL1IKDDJN6KTLZLRONTM8VF9,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:33 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:33 PST 2021,,,3K5TEWLKGYS09UNQB4WLC8WV8NRIVX,A2O6Q4HDNBQUA,Approved,Thu Jan 28 05:39:27 PST 2021,Thu Jan 28 05:40:40 PST 2021,Thu Jan 28 08:40:40 PST 2021,Thu Jan 28 08:40:53 PST 2021,,,73,100% (5/5),100% (5/5),100% (5/5),P159,The headquarter of <i>Sportskeeda</i> is in <i>Bangalore</i> .,<i>Bangalore</i> has the headquarters of <i>Sportskeeda</i>.,paraphrase,"The headquarter of <i>Matson, Inc.</i> is in <i>Hawaii</i> .","<i>Matson, Inc.</i> plays in <i>Hawaii</i> position .",distractor,The headquarter of <i>Hamilton Bradshaw</i> is in <i>London</i> .,The headquarters of <i>Hamilton Bradshaw</i> is in <i>London</i> .,paraphrase,The headquarter of <i>Milano Vipers</i> is in <i>Milan</i> .,<i>Milan</i> contains the headquarters of <i>Milano Vipers</i>.,paraphrase,The headquarter of <i>Milano Vipers</i> is in <i>Milan</i> .,<i>Milano Vipers</i> plays <i>Milan</i> music .,distractor,The headquarter of <i>Interpol</i> is in <i>Lyon</i> .,The headquarter of <i>Interpol</i> is located in <i>Lyon</i> .,paraphrase,The headquarter of <i>Fudan University</i> is in <i>Shanghai</i> .,<i>Fudan University</i> is headquartered in <i>Shanghai</i>.,paraphrase,1,2,1,1,2,1,1,{},,
37Y5RYYI0RMELDXNQSMGGB4NYNASXS,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:35 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:35 PST 2021,,,317HQ483IA9N1PEH9DAU2R2IMKPING,A2O6Q4HDNBQUA,Approved,Thu Jan 28 05:30:38 PST 2021,Thu Jan 28 05:31:57 PST 2021,Thu Jan 28 08:31:57 PST 2021,Thu Jan 28 08:32:53 PST 2021,,,79,100% (5/5),100% (5/5),100% (5/5),P140,<i>Mulla Sadra</i> is affiliated with the <i>Islam</i> religion .,<i>Islam</i> is <i>Mulla Sadra</i>'s official religion.,paraphrase,<i>Football Federation Australia</i> is a member of <i>FIFA</i> .,<i>Football Federation Australia</i> belongs to the organization of <i>FIFA</i>.,paraphrase,<i>Jamie Cook</i> plays <i>guitar</i> .,<i>Jamie Cook</i> was born in <i>guitar</i> .,distractor,<i>Alistair Cooke</i> works for <i>BBC</i> .,<i>Alistair Cooke</i> is employed by <i>BBC</i>.,paraphrase,<i>Delchev Ridge</i> is located in <i>Antarctica</i> .,<i>Delchev Ridge</i> is located in the continent <i>Antarctica</i>.,paraphrase,<i>Alistair Cooke</i> works for <i>BBC</i> .,<i>Alistair Cooke</i> is located in <i>BBC</i> .,distractor,The official language of <i>Iran</i> is <i>Persian</i> .,The official language of <i>Iran</i> is the <i>Persian</i> language.,paraphrase,1,1,2,1,1,2,1,{},,
3BO3NEOQM2YDVMMYA60OS1N2O4ZIAM,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:38 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:38 PST 2021,,,3WMINLGALEKP43YS8Z935IKNA86CAO,A2O6Q4HDNBQUA,Approved,Thu Jan 28 05:48:48 PST 2021,Thu Jan 28 05:50:00 PST 2021,Thu Jan 28 08:50:00 PST 2021,Thu Jan 28 08:50:53 PST 2021,,,72,100% (5/5),100% (5/5),100% (5/5),P103,The native language of <i>Jean-Baptiste Henri Lacordaire</i> is <i>French</i> .,<i>French</i> is <i>Jean-Baptiste Henri Lacordaire</i>'s mother tongue.,paraphrase,<i>Tesla turbine</i> is a subclass of <i>turbine</i> .,"<i>Tesla turbine</i>,  a type of <i>turbine</i>.",paraphrase,<i>Winter War</i> is located in <i>Finland</i> .,<i>Winter War</i> has the position of <i>Finland</i> .,distractor,<i>Tirana</i> and <i>Kiev</i> are twin cities .,The original language of <i>Tirana</i> is <i>Kiev</i> .,distractor,<i>Zimbabwe Football Association</i> is a member of <i>FIFA</i> .,<i>Zimbabwe Football Association</i> is affiliated with <i>FIFA</i>.,paraphrase,<i>Pittsburgh Police</i> is a legal term in <i>Pittsburgh</i> .,The official language of <i>Pittsburgh Police</i> is <i>Pittsburgh</i> .,distractor,<i>Tumor protein p63</i> is a subclass of <i>protein</i> .,"<i>Tumor protein p63</i>,  a subclass of <i>protein</i>.",paraphrase,1,1,2,2,1,2,1,{},,
36QZ6V158BUM493SLNBTW45J45TSU0,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:29 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:29 PST 2021,,,3U5NZHP4LUJN8FFAJA51646YMMCPHR,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:40:12 PST 2021,Thu Jan 28 14:40:55 PST 2021,Thu Jan 28 17:40:55 PST 2021,Thu Jan 28 17:41:53 PST 2021,,,43,100% (7/7),100% (7/7),100% (7/7),P530,<i>Brazil</i> maintains diplomatic relations with <i>Canada</i> .,<i>Brazil</i> is represented by music label <i>Canada</i> .,distractor,<i>Australia</i> maintains diplomatic relations with <i>Philippines</i> .,The capital of <i>Australia</i> is <i>Philippines</i> .,distractor,<i>Australia</i> maintains diplomatic relations with <i>Netherlands</i> .,<i>Netherlands</i> has diplomatic relations with <i>Australia</i>.,paraphrase,<i>Germany</i> maintains diplomatic relations with <i>Hungary</i> .,<i>Germany</i> has diplomatic relations with <i>Hungary</i>.,paraphrase,<i>Australia</i> maintains diplomatic relations with <i>Cyprus</i> .,<i>Cyprus</i> ties diplomatic relations with <i>Australia</i>.,paraphrase,<i>Lebanon</i> maintains diplomatic relations with <i>Brazil</i> .,<i>Lebanon</i> ties diplomatic relations with <i>Brazil</i>.,paraphrase,<i>Brazil</i> maintains diplomatic relations with <i>Canada</i> .,<i>Canada</i> maintains diplomatic relations with <i>Brazil</i>.,paraphrase,2,2,1,1,1,1,1,{},,
3HA5ODM5KC9MHOSSQDLYSQ72IC2SVP,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:29 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:29 PST 2021,,,323Q6SJS8LXBH2QG579WUASUKGPHFG,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:39:19 PST 2021,Thu Jan 28 14:40:06 PST 2021,Thu Jan 28 17:40:06 PST 2021,Thu Jan 28 17:40:53 PST 2021,,,47,100% (7/7),100% (7/7),100% (7/7),P413,<i>Dan McGwire</i> plays in <i>quarterback</i> position .,The native language of <i>Dan McGwire</i> is <i>quarterback</i> .,distractor,<i>Dan McGwire</i> plays in <i>quarterback</i> position .,<i>Dan McGwire</i> plays in the position of <i>quarterback</i>.,paraphrase,<i>Rinku Singh</i> plays in <i>pitcher</i> position .,"playing as a <i>pitcher</i>, <i>Rinku Singh</i>",paraphrase,<i>Charlie Conerly</i> plays in <i>quarterback</i> position .,<i>Charlie Conerly</i> plays as <i>quarterback</i>,paraphrase,<i>Dan LaCosta</i> plays in <i>goaltender</i> position .,"<i>Dan LaCosta</i>, who plays in <i>goaltender</i> position.",paraphrase,<i>Jake Rudock</i> plays in <i>quarterback</i> position .,"playing as an <i>quarterback</i>, <i>Jake Rudock</i>",paraphrase,<i>Dan McGwire</i> plays in <i>quarterback</i> position .,<i>Dan McGwire</i> was born in <i>quarterback</i> .,distractor,2,1,1,1,1,1,2,{},,
3N2YPY1GI8FL75NAPI1T393NHLTVER,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:33 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:33 PST 2021,,,3LYA37P8IT4C6BF86QQXOCH1XZ1KB5,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:40:55 PST 2021,Thu Jan 28 14:41:45 PST 2021,Thu Jan 28 17:41:45 PST 2021,Thu Jan 28 17:41:53 PST 2021,,,50,100% (7/7),100% (7/7),100% (7/7),P495,<i>Kalathur Kannamma</i> was created in <i>India</i> .,<i>Kalathur Kannamma</i> was begun in <i>India</i>.,paraphrase,<i>Kalathur Kannamma</i> was created in <i>India</i> .,<i>Kalathur Kannamma</i> was born in <i>India</i> .,distractor,<i>escabeche</i> was created in <i>Spain</i> .,"<i>escabeche</i>, that was started in <i>Spain</i>.",paraphrase,<i>Dziennik Ustaw</i> was created in <i>Poland</i> .,<i>Dziennik Ustaw</i> is located in <i>Poland</i> .,distractor,<i>The X Factor</i> was created in <i>Australia</i> .,"<i>The X Factor</i>, begun in <i>Australia</i>",paraphrase,<i>Lancashire wrestling</i> was created in <i>England</i> .,"<i>Lancashire wrestling</i>, that begun in <i>England</i>.",paraphrase,<i>Manitoba Chamber Orchestra</i> was created in <i>Canada</i> .,<i>Manitoba Chamber Orchestra</i> started in <i>Canada</i>.,paraphrase,2,2,2,2,1,1,1,{},,
3E22YV8GG3NCWR3RW5VDN48E9PTNPN,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:33 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:33 PST 2021,,,3YJ6NA41JEXJZLA07A8MIHMDZEGPJW,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:41:46 PST 2021,Thu Jan 28 14:42:23 PST 2021,Thu Jan 28 17:42:23 PST 2021,Thu Jan 28 17:42:53 PST 2021,,,37,100% (7/7),100% (7/7),100% (7/7),P176,<i>Yamaha TZR250</i> is produced by <i>Yamaha</i> .,"<i>Yamaha TZR250</i>, developed by <i>Yamaha</i>",paraphrase,<i>Triumph Stag</i> is produced by <i>Triumph</i> .,<i>Triumph Stag</i> is created by <i>Triumph</i>.,paraphrase,<i>Honda Life</i> is produced by <i>Honda</i> .,<i>Honda Life</i> plays <i>Honda</i> music .,distractor,<i>Triumph Stag</i> is produced by <i>Triumph</i> .,<i>Triumph Stag</i> is developed by <i>Triumph</i> .,distractor,<i>Pontiac Firebird</i> is produced by <i>Chevrolet</i> .,"<i>Pontiac Firebird</i>, created by <i>Chevrolet</i>.",paraphrase,<i>RC-135</i> is produced by <i>Boeing</i> .,<i>RC-135</i> is developed by <i>Boeing</i>.,paraphrase,<i>Dodge Dakota</i> is produced by <i>Dodge</i> .,"<i>Dodge Dakota</i>, produced by <i>Dodge</i>",paraphrase,1,1,2,1,1,1,1,{},,
3YCT0L9OMOQ99JJJOMZ7I9DPW90NS3,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:35 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:35 PST 2021,,,3C5W7UE9CI7E92ICWYVVSM0X57KMXL,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:34:44 PST 2021,Thu Jan 28 14:36:43 PST 2021,Thu Jan 28 17:36:43 PST 2021,Thu Jan 28 17:36:53 PST 2021,,,119,100% (7/7),100% (7/7),100% (7/7),P36,The capital of <i>Iran</i> is <i>Tehran</i> .,<i>Iran</i> used to communicate in <i>Tehran</i> .,distractor,The capital of <i>Cache County</i> is <i>Logan</i> .,"<i>Cache County</i>'s capital, <i>Logan</i>.",paraphrase,The capital of <i>Mount Lebanon Governorate</i> is <i>Beirut</i> .,The capital city of <i>Mount Lebanon Governorate</i> is <i>Beirut</i>.,paraphrase,The capital of <i>Indiana County</i> is <i>Indiana</i> .,<i>Indiana</i> is the capital city of <i>Indiana County</i>.,paraphrase,The capital of <i>Mount Lebanon Governorate</i> is <i>Beirut</i> .,<i>Mount Lebanon Governorate</i> and <i>Beirut</i> are twin cities .,distractor,The capital of <i>Denmark</i> is <i>Copenhagen</i> .,<i>Copenhagen</i> is the capital of <i>Denmark</i>.,paraphrase,The capital of <i>Iran</i> is <i>Tehran</i> .,"<i>Iran</i>'s capital city, <i>Tehran</i>.",paraphrase,2,1,1,1,2,1,1,{},,
31HLTCK4BNCJRJJ1VDRH3COZU18VG8,3H2ZGQZOT0QV7QHFIRJLIDKEW1EXYP,Are these two sentences equivalent?,Indicate if two sentences are equivalent,"nlp, paraphrase",$0.10,Wed Jan 27 23:30:35 PST 2021,1,BatchId:307318;OriginalHitTemplateId:920937243;,3600,10800,Wed Feb 03 23:30:35 PST 2021,,,3QJOXOW4XM8532RV1T534XFQP19EM4,A6VJBV6TAG55Q,Approved,Thu Jan 28 14:36:48 PST 2021,Thu Jan 28 14:37:32 PST 2021,Thu Jan 28 17:37:32 PST 2021,Thu Jan 28 17:37:53 PST 2021,,,44,100% (7/7),100% (7/7),100% (7/7),P190,<i>Prague</i> and <i>Frankfurt</i> are twin cities .,<i>Frankfurt</i> is a twin city of <i>Prague</i>.,paraphrase,<i>Toulouse</i> is located in <i>Europe</i> .,<i>Toulouse</i> belongs to the continent of <i>Europe</i>.,paraphrase,<i>Canad Inns Stadium</i> is owned by <i>Winnipeg</i> .,The <i>Winnipeg</i>-owned <i>Canad Inns Stadium</i>,paraphrase,<i>Kurt Tucholsky</i> used to work in <i>Berlin</i> .,<i>Kurt Tucholsky</i> worked in <i>Berlin</i>.,paraphrase,<i>Lake Vanda</i> is located in <i>Antarctica</i> .,<i>Lake Vanda</i> is a part of the continent of <i>Antarctica</i>.,paraphrase,<i>Yahoo! Sports</i> is owned by <i>Yahoo</i> .,<i>Yahoo</i> owns <i>Yahoo! Sports</i> .,paraphrase,<i>Khedoi</i> is located in <i>Gujarat</i> .,<i>Khedoi</i> was created in <i>Gujarat</i> .,distractor,1,1,1,1,1,1,2,{},,
